#  E (eV),         F (m^2.sr.s.GeV)^-1
255087529.14182016, 3344.3138592484083
431378305.9803469, 2799.238320130556
729546320.4865341, 1975.0394971841645
1233882039.873348, 1169.1438451122674
2087009775.4752526, 565.7947277863517
3530230859.329707, 227.30069832894463
5751808095.768871, 80.64138472961427
8803290902.680786, 28.76191819965393
13140836750.950096, 10.174095173384027
19615603724.219852, 3.582274935952848
29280749207.468765, 1.2458023662562023
43707811723.03393, 0.44390829749835503
66066263562.55247, 0.14611261788164068
101116164308.12703, 0.05205181639154096
154760489229.11545, 0.018709706688867327
236864769421.7866, 0.006686050526773935
362527045175.3431, 0.0023962743375772633
554856361875.517, 0.0008575734274316276
828240367192.4873, 0.0003077414681573078
1205783803737.7979, 0.000109579548660384
1777540144494.7488, 0.00003774468115774132
2620410481326.4004, 0.000013006519934782005
3814891004636.6807, 0.000004638963773758074
5553863309039.726, 0.0000016518266440466583
8085520695945.624, 5.891479043344361e-7
11771221663476.113, 2.0909086280594661e-7
17136972433379.662, 7.469840163959624e-8
24948613330706.89, 2.673030705969581e-8
36777973730084.98, 9.7524582701669e-9
54898847374910.87, 3.508970862300665e-9
81948186437716.44, 1.2566970413710656e-9
122324808378968.19, 4.528640686804249e-10
182595652826824.53, 1.6243899914685652e-10
272562492881373.38, 5.835584418698706e-11
406856313044971, 2.1061691039759425e-11
607322017404801.9, 7.450255843975736e-12
895296125700289.1, 2.6059661399971725e-12
1303402431241497.8, 9.356085361565622e-13
1897539568191662.5, 3.3480105210016644e-13
2797294435166640, 1.1737332944303424e-13
4072430833344873, 4.110429815727972e-14
5782228335262201, 1.5401157057622076e-14
8210006461035514, 5.5157450054500844e-15
11657111993913822, 1.985901366314734e-15
16551591443456076, 7.08717890941836e-16
23501376188345450, 2.4500397853779376e-16
33369360668786012, 8.410129037310206e-17
47380752086890890, 2.8971253801614184e-17
67275316634411590, 9.99768563490207e-18
95523293322978030, 3.456202796666992e-18
133945478769400530, 1.217437974248702e-18
185488537719768300, 4.22531237485884e-19
256866192514982140, 1.4581124145461222e-19
355710377111824700, 5.041384140045799e-20
492590601924597060, 1.7430448979077113e-20
682143888460611300, 6.0150710273471785e-21
944638363784272100, 2.079694499271929e-21
1308144543572539600, 7.163167918279178e-22
1811533864165493200, 2.457862177153013e-22
2508631642236164600, 8.449607160155539e-23
3517686002183598000, 2.9485043115212987e-23
4994871355195318000, 9.29895659279135e-24
7181319714590052000, 3.336372522198869e-24
10363098328329091000, 1.1363648413038211e-24
13962982286188302000, 5.241045767328972e-25
20047343731451530000, 1.8523394254278239e-25
29700610512678093000, 6.499613084302797e-26
45567106711505720000, 1.7540891633975968e-26
63554974837979470000, 5.683144716899578e-27
92962598601130380000, 1.3891848141832927e-27
129672654848053300000, 3.395715830038319e-28
180867491956225050000, 1.0015665453258756e-28
246348167048412530000, 3.24501612544435e-29
335524422433951840000, 1.1548949653937068e-29

